,ID,duration,gamePeriod,health,number_alive,time,x,y
3676,36,719,3,95.199951171875,22,20:54:23,1976.79171875,1746.15734375
3672,31,719,3,82.19998168945312,22,20:54:23,2693.34,1018.47375
3673,30,719,3,100,22,20:54:23,1480.86015625,1738.18875
3675,72,719,3,100,22,20:54:23,1333.5996875,1665.988125
3677,73,720,3,100,22,20:54:24,1276.64265625,1545.501875
3678,61,722,3,100,22,20:54:26,2287.66453125,1565.16796875
3679,75,723,3,100,22,20:54:27,2690.851875,674.8871875
3680,39,723,3,100,22,20:54:27,1930.06890625,981.627890625
3681,89,723,3,100,22,20:54:27,1714.54515625,841.384453125
3682,90,724,3,48.60012435913086,22,20:54:28,1761.0603125,2113.778125
3683,53,725,3,100,22,20:54:29,2134.20828125,1032.7590625
3684,93,726,3,99.6500015258789,22,20:54:30,2648.968125,944.46375
3685,55,727,3,100,22,20:54:31,1085.68296875,1401.475
3690,43,728,3,100,22,20:54:32,2608.24890625,783.273046875
3686,2,728,3,53.834041595458984,22,20:54:32,2603.1259375,2983.23625
3687,5,728,3,18.085002899169922,22,20:54:32,2132.735,1645.369375
3688,9,728,3,14.589996337890625,22,20:54:32,2123.4865625,1661.9303125
3689,85,728,3,98.39999389648438,22,20:54:32,1747.18375,2062.99078125
3696,72,729,3,100,22,20:54:33,1371.7734375,1630.83921875
3693,30,729,3,100,22,20:54:33,1433.87890625,1744.9303125
3697,36,729,3,99.199951171875,22,20:54:33,1973.88375,1713.53015625
3695,71,729,3,58.599945068359375,22,20:54:33,1796.3446875,1849.70890625
3694,31,729,3,82.19998168945312,22,20:54:33,2693.34,1018.47375
3691,20,729,3,100,22,20:54:33,1330.12296875,1111.844140625
3692,28,729,3,100,22,20:54:33,1966.30953125,1333.61640625
3698,73,730,3,100,22,20:54:34,1296.96828125,1517.36328125
4469,9,731,3,0,22,20:54:35,2135.11234375,1660.905
3699,61,732,3,100,21,20:54:36,2274.49640625,1573.2828125
3700,75,733,3,100,21,20:54:37,2688.8228125,677.394921875
3701,39,733,3,100,21,20:54:37,1913.00015625,975.82234375
3702,89,733,3,100,21,20:54:37,1714.74953125,841.432578125
3703,90,734,3,42.60013198852539,21,20:54:38,1758.083125,2110.823125
3704,53,735,3,100,21,20:54:39,2138.25359375,1023.941171875
3705,93,736,3,100,21,20:54:40,2621.1403125,954.29734375
3706,55,737,3,100,21,20:54:41,1100.84828125,1421.50875
3709,9,738,3,0,21,20:54:42,2135.11234375,1660.905
3708,5,738,3,18.085002899169922,21,20:54:42,2135.5275,1660.27171875
3711,43,738,3,100,21,20:54:42,2608.78953125,785.008984375
3710,85,738,3,93.39996337890625,21,20:54:42,1736.33390625,2042.50828125
3707,2,738,3,47.490421295166016,21,20:54:42,2623.6028125,2943.7084375
3712,20,739,3,100,21,20:54:43,1384.30328125,1098.6771875
3714,30,739,3,100,21,20:54:43,1470.71015625,1727.3134375
3715,31,739,3,82.19998168945312,21,20:54:43,2693.2359375,1018.409375
3716,71,739,3,57.599952697753906,21,20:54:43,1834.5815625,1802.3571875
